UC;UC10;;;
Ano;2009-2010;;;
Epoca;RE;;;
Data;19/7/2010;;;
;;;;
Numero;Freq. Ant. ;Freq. ;Exame ;Resultado 
1010017;--- ;8;FT ;NC 
1010023;--- ;8;5;6
1030006;--- ;11;11;11
1030016;--- ;12;14;13
1030021;--- ;16;8;11
1030031;--- ;18;10;13
1030034;--- ;11;12;12
1040056;--- ;8;9;9
1040057;--- ;16;9;12
1050004;--- ;14;10;12
1050005;--- ;14;FT ;NC 
1050016;--- ;10;13;12
1050022;--- ;8;17;14
1050032;--- ;8;14;12
1050036;--- ;9;10;10
1060027;--- ;8;10;9
1060032;--- ;10;7;8
1060037;--- ;13;8;10
1060077;--- ;13;7;NC 
1060083;10;10;8;9
1060085;--- ;8;FT ;NC 
1060086;--- ;9;FT ;NC 
1060108;--- ;8;14;12
1060109;--- ;9;11;10
1060111;--- ;8;13;11
1060130;--- ;8;7;7
1060134;--- ;15;12;13
1060135;10;10;9;10
1070013;--- ;14;10;12
1070030;--- ;15;10;12
1070032;--- ;9;14;12
1070048;--- ;13;7;9
1070066;--- ;10;12;11
1070074;--- ;16;12;14
1070080;--- ;13;9;11
1070085;--- ;12;FT ;NC 
1070091;--- ;8;12;11
1070099;--- ;9;12;11
1070104;--- ;17;10;13
1070119;--- ;10;10;10
1070121;--- ;12;7;9
1070123;--- ;12;FT ;NC 
1070126;--- ;11;12;12
1070141;--- ;16;FT ;NC 
1080017;--- ;11;6;8
1080019;--- ;9;10;10
1080023;--- ;14;12;13
1080025;--- ;10;12;11
1080033;--- ;11;9;10
1080051;--- ;16;10;13
1080052;--- ;14;11;12
1080058;--- ;9;9;9
1080061;--- ;9;6;7
1080064;--- ;8;14;12
1080079;--- ;13;15;14
1080080;--- ;8;13;11
1080098;--- ;15;7;NC 
1080102;--- ;10;15;13
1080103;--- ;11;14;13
1080110;--- ;15;12;13
1080124;--- ;14;12;13
1080128;--- ;11;9;10
1080134;--- ;9;11;10
1080135;--- ;9;13;12
1080146;--- ;12;10;11
1080173;--- ;13;13;13
1080176;--- ;9;13;12
1080182;--- ;16;FT ;NC 
1080193;--- ;10;9;10
