UC;UC04;;
Ano;2009-2010;;
Epoca;RE;;
Data;12/7/2010;;
;;;
Numero;Freq. ;Exame ;Resultado 
1030011;0;FT ;NC 
1040018;3.2 ;2;2
1050028;0;DT ;NC 
1050083;5.2 ;13;13
1060126;7.6 ;15;15
1060103;4.4 ;FT ;NC 
1060142;7.8 ;6;6
1070128;12;FT ;NC 
1070051;4.4 ;13;13
1070094;4.6 ;FT ;NC 
1080202;6;10;10
1080015;9.4 ;6;6
1080040;10.2 ;10;10
1080113;12.8 ;13;13
1080114;0.8 ;2;2
1080136;4.8 ;10;10
1080143;5;10;10
1080152;9.2 ;10;10
1080172;0;1;1
1080020;3.8 ;1;1
1080194;10.6 ;12;12
1090017;3.2 ;5;5
1090056;5.8 ;10;10
1090121;6.4 ;FT ;NC 
1090126;10.4 ;5;5
1090160;0.8 ;10;10
1090200;3.2 ;FT ;NC 
1090217;5.4 ;FT ;NC 
1090238;0;FT ;NC 
1090003;2;FT ;NC 
1090031;13.2 ;12;12
1090082;1;4;4
1090145;9.6 ;10;10
1090153;2.8 ;10;10
1090161;6.2 ;10;10
1090203;6.6 ;5;5
1090235;0;FT ;NC 
1090251;0;12;12
1090252;6.8 ;7;7
1090046;0;FT ;NC 
1090091;5;10;10
1090112;3.4 ;10;10
1090137;3;3;3
1090165;0;10;10
1090131;2.6 ;5;5
1090022;6;FT ;NC 
1010019;8.4 ;11;11
1010080;0;FT ;NC 
1010065;12;3;3
